,Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
10234,399 000,"259, rue Sénécal",Longueuil (Vieux-Longueuil),5,3,1461,8754
10235,389 900,"95, rue Sunset",Mascouche,2,1+1,1461,21592
10236,474 000,"83, chemin des Bois",L'Ange-Gardien-Outaouais,5,2+1,2548,80110
10237,136 750,"304-10, rue Lanouette",Trois-Rivières (Cap-De-La-Madeleine),2,1,1175,17950
10238,199 000,"1284, rue Onésime-Voyer",Cap-Rouge,2,1,860,2422
10239,319 000,"571, rue du Geai-Bleu",St-Alexis-Des-Monts,4,1+2,2000,42000
10240,310 000,"132, chemin des Perdrix",Sutton,3,2,1966,31000
10241,156 000,"607, rue de Gascogne",Chicoutimi (Chicoutimi),3,1+1,1966,5737
10242,215 000,"248, rue Emilien",Chicoutimi (Chicoutimi-Nord),3,2,1176,21000
10243,231 000,"9125-27, boulevard des Forges",Trois-Rivières (Trois-Rivières),6,2,1120,12865
10244,166 900,"103-418, rue Jean-Louis-Boudreau",Granby,2,1,1132,18997
10245,284 900,"3800, place du Séminaire",Ste-Catherine,3,1+1,1132,2238
10246,334 900,"1413, rue Pine",Mascouche,4,2,1132,13430
10247,249 900,"700, rue des Girolles",Sherbrooke (Rock Forest),4,2+1,1360,6507
10248,339 900,"2387, rue de Dieppe",Jonquière (Arvida),4,2+1,18742,14188
10250,167 000,"49, rang des Hirondelles",St-David-de-Falardeau,3,1,1040,41400
10251,199 000,"1440, chemin Saint-François",St-Mathieu-Du-Parc,5,2+1,1344,111944
10252,169 500,"61, rue Léveillé",Rivière-Du-Loup,3,1+1,1050,5150
10253,355 000,"36, rue Pichard",Beaupré,4,2+1,1498,7412
10254,318 000,"1319, rue de l'Étrave",Val-Bélair,5,1+1,1404,6991
10255,107 000,"63, montée du Parc - Développement Havre sur St-Laurent",Château-Richer,5,1+1,1404,8000
10256,349 900,"526, rue Pauline-Julien",Rimouski (Rimouski),5,2+1,1712,7875
10257,239 000,"553, rue Principale",St-Ferdinand,4,1+1,1829,10537
10258,489 500,"154, Chemin Jos-Montferrand",L'Ange-Gardien-Outaouais,4,2+1,1900,47916
10259,224 900,"635, avenue Castelneau",St-Hyacinthe (Douville),3,1,1033,5774
10261,264 900,"811, rue de la Nativité",Beauport,4,3,1776,5877
10262,229 990,"4566A-4566, rang du Cordon",St-Jacques,4,13,1662,22500
10263,349 000,"58, rue Saint-Jude",Victoriaville,4,2+1,1630,14250
10264,299 000,"2060, rue Terroir",Sherbrooke (Fleurimont),4,2+1,1372,16270
10265,250 000,"105, rue Massé",Compton,4,2,1800,12000
10266,225 000,"7015, rue des Pruniers",Sorel-Tracy,4,2+1,1700,8848
10267,479 000,"46, avenue des Légendes",Roxton Pond,5,2+1,2772,34896
10268,389 000,"20, rue de Saveuse",Coteau-Du-Lac,4,1+1,1863,9481
10269,249 000,"2083, chemin de la Gare",Val-Morin,3,1,1200,9786
10270,230 000,"47, rue Mandy",Scott,2,1,1856,5984
10271,349 500,"1242, Grande-Allée",Gatineau (Aylmer),3,2,1767,52500
10272,264 900,"13827, rue du Grand-Pré",Loretteville,3,2+1,1320,919
10273,360 000,"4376, rue Marcheterre",Ascot Corner,3,2+1,1320,20300
10274,175 000,"7370, rue Arnaud",Trois-Rivières (Trois-Rivières-Ouest),3,2,922,3778
10275,1 465 000,"2545, montée des Lacasse",Auteuil,5,2+1,922,1270702
10276,249 999,"412, rue Paul-Gouin",Repentigny (Le Gardeur),4,1+1,1003,2960
10277,619 000,"13800, rue Émile-Nelligan",Mirabel (St-Janvier),5,1+1,1935,10000
10278,239 900,"1401, rue des Escoumins",Val-Bélair,3,2,925,5720
10279,398 000,"9, avenue du Boisé",Napierville,2,2+1,1457,14309
10280,415 000,"619, rue Richelieu",St-Marc-sur-Richelieu,4,2,2718,53593
10281,350 000,"11, rue des Mélèzes",Pont-Rouge,4,2+1,1773,7500
10282,173 000,"724, rue des Manoirs",Beloeil,2,1+1,1075,3310
10285,569 000,"6, chemin des Tilleuils",St-Sauveur,4,3+1,3017,43869
10286,264 000,"905, rue de Lourdes",Duvernay,3,1,1015,5000
10287,293 000,"878, rue des Zircons",Charlesbourg,3,1+1,1339,3415
10288,600 000,"19, rue Louis-Liénard-de-Beaujeu",St-Jean-sur-Richelieu (St-Luc),4,3,1428,10485
10289,769 500,"1926, route 148",Luskville,4,2,3560,1524600
10290,249 900,"483, rue des Pins",Compton,3,2+1,1930,61741
10291,250 000,"187, Chemin du Fleuve",Coteau-Du-Lac,3,1+1,1316,7000
10292,179 900,"105, montée Pinet",St-Calixte,3,1+1,781,5062
10293,598 900,"102, chemin Bois-Joli",Stoneham,4,2+1,3143,33304
10294,159 499,"180, rue Dallaire",Ste-Rose-De-Watford,4,2,1500,40201
10295,245 000,"901, rue Saint-Aimé",St-Lambert-De-Lauzon,2,2,1500,53819
10296,158 000,"4-19, rue Laprise",St-Étienne-De-Lauzon,2,1,903,18988
10297,240 000,"600, rue Saint-Olivier",St-Jean Baptiste,2,1,843,2904
10298,159 900,"122, rue Darche",Sherbrooke (Mont-Bellevue),4,1+1,1200,2000
10299,309 000,"828, rue des Ormes",St-Nicolas,3,1+1,1632,14000
10300,150 000,"268, chemin Bourassa",Acton Vale,3,1,1098,33000
10301,285 000,"11, chemin Townline",Chelsea,3,1,882,43560
10302,155 900,"1-255, boulevard Charest Ouest",Saint-Roch,1,1,780,1489
10303,640 000,"30, chemin du Golf",Drummondville (Drummondville),3,2,4000,20000
10304,490 000,"341, rue Bédard",St-Colomban,5,3+1,4000,58966
10305,117 000,"187, rue Monseigneur Ross",Grosses-Roches,3,2,1216,25873
10306,849 000,"3984, boulevard Gouin Est",Montréal-Nord,3,2+1,1216,4208
10307,142 000,"8493, avenue des Grands-Jardins",Shawinigan (Shawinigan),4,1+1,1256,11424
10308,234 900,"255, rue Valérie",St-Lin-Laurentides,4,2,892,6200
10310,569 900,"17, rue Pascal",Beauport,6,2+2,3224,6880
10311,199 000,"1555, rue de la Girardière",Trois-Rivières (Trois-Rivières),4,2,1091,6999
10312,899 500,"1185, chemin du Lac-Connelly",St-Hippolyte,3,2+1,1091,34000
10313,177 000,"845, rue des Cerisiers",Dolbeau-Mistassini,3,2,1017,14437
10314,600 000,"1744, Chemin de la rivière",Ste-Clotilde-De-Chateauguay,4,2,1360,1766486
10315,240 000,"102, chemin Cooledge",Bolton-Est,2,1,1240,20730
10316,219 900,"4844, avenue des Giroflées",Charlesbourg,4,1+1,760,2082
10317,638 500,"318, rue des Autochtones",Charlesbourg,4,2+1,760,17368
10318,232 000,"10110, rue Vanier",Loretteville,2,1+1,640,4272
10319,178 000,"188, rue Carrier",St-Joseph-De-Beauce,2,2+1,1260,13098
10320,244 000,"40, rue Saint-Marcel",Lévis,3,1+1,1452,1296
10321,231 500,"101-813, rue des Calcédoines",Charlesbourg,4,2,961,3336
10322,219 900,"6-470, chemin des Cormiers",Piedmont,2,1,1081,333
10324,574 900,"240, chemin Irène",Chertsey,4,3+1,2600,73528
10325,230 000,"853, chemin de la 4e-Ligne",St-Valentin,4,1,1260,20000
10326,425 000,"3057, chemin Saint-Louis",Ste-Foy,3,1+1,1370,4500
10327,509 000,"2105, rue Bellevue",St-Bruno-De-Montarville,4,2,1530,10250
10328,599 000,"615, chemin de Kilkenny",St-Hippolyte,3,1+1,1560,26370
10329,178 500,"356, rue Bellevue",Ste-Marie,3,2+1,1560,4230
10330,214 700,"1573, rue du Quotidien",Lévis,2,1,1122,9115
10331,599 000,"668-676, rue Legendre Est",Ahuntsic / Cartierville,3,1,1122,2981
10332,222 000,"509, rue de la Goudrelle",Sherbrooke (Fleurimont),2,1+1,1122,3498
10333,185 000,"2461, rue des champs-Élysées",Trois-Rivières (Trois-Rivières-Ouest),3,1+1,1135,567
10334,595 000,"42, chemin Bertrand Est",La Tuque (Lac-Édouard),2,3+1,2002,48460
10335,189 500,"101-171, rue de Saint-Romuald",St-Romuald,1,1,712,42000
10336,89 900,"1, rue du lac Frédéric",Lakefield,1,1,712,64651
10337,595 000,"440, rue Rochette",St-Pascal-De-Kamouraska,5,3,712,22744
10338,179 000,"3654, chemin du Lac-Jérôme",Jonquière (Lac-Kénogami),2,1+1,947,59977
10339,338 500,"4596, rue du Portage",Charny,5,2+1,1560,7472
10340,535 000,"285, rang Sainte-Éveline",St-Georges,4,2,2066,2956680
10341,195 500,"2089, rue Gaston-L.-Tremblay",Chicoutimi (Chicoutimi),2,2,768,4000
10342,150 000,"197, rue Bouthillier Nord",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),3,1+1,1400,1348
10343,795 000,"507, route 309 Nord",ND-Du-Laus,10,1+1,1400,145000
10344,374 900,"96, rue du Buzet",Gatineau (Aylmer),4,1+1,1588,5206
10345,320 000,"400, rue Courcival",Beauport,4,2,1113,4982
10346,129 500,"71, rue de Quen",Dolbeau-Mistassini,4,2,1113,7838
10347,298 000,"1151, chemin du Mont-Laura-Plamondon",St-Raymond,3,2+1,1479,643358
10348,135 000,"59, rue Principale",St-David,3,1+1,1440,24865
10349,528 000,"471, rue Lorette-Bourbonniere",Mont-St-Hilaire,4,2+1,3229,10118
10351,313 000,"954, rue de la Vendée",St-Jean-Chrysostome,4,2,1248,6698
10352,349 900,"16, rue de Genève",Ste-Brigitte-De-Laval,3,1+2,1664,9000
10353,189 900,"681, rue Denison Ouest",Granby,2,1,1363,9120
10354,279 500,"45, rue de la Montagne",St-Colomban,2,2,1349,44823
10355,454 000,"3592, rue Paul-Archambault",Ste-Foy,3,1+1,1500,5985
10356,535 000,"105, rue de l'Iris",La Prairie,5,3+1,1500,6321
10357,210 499,"14, rue Foisy",Lévis,3,2+1,1500,8841
10358,146 000,"0, boulevard Taché Ouest",Montmagny,3,2+1,1500,33500
10359,499 000,"120, rue de la Quiétude",St-Colomban,3,2+1,2200,100000
10360,594 500,"609, rue des Mélèzes",Shannon,3,2+1,3900,32000
10361,189 900,"4809, rue des Samares",Charlesbourg,2,1,1200,2352
10362,339 900,"65, rue Dumouchel",Mercier,4,2,1200,5229
10363,347 000,"13, chemin du Domaine du Marais",Chambord,4,2,1550,18018
10364,255 000,"3415, rue Savard",Jonquière (Shipshaw),4,2,1092,75347
10365,314 499,"236, rue du Tricentenaire",L'Ange-Gardien,5,3,3120,6718
10366,349 000,"150, rue Paquette",Shefford,5,2,2320,20339
10367,240 000,"114, rue des Gaspésiennes",Lévis,3,1,1008,5722
10368,569 500,"685, rue des Sorciers",Ile d'Orléans (St-Laurent),5,2+1,2540,27545
10369,183 000,"191, rue Bellevue",Waterloo,4,2,920,7200
10370,319 000,"15, rue Grenier",Beauport,3,2,1421,6145
10371,272 900,"2-16, rue Hébert",Vieux-Québec,2,1,914,380
10372,309 000,"505, avenue du Citadelle",Rimouski (Pointe-Au-Père),4,2,1481,8623
10373,205 000,"686, rue Granier",Pointe-Lebel,3,2,1150,32000
10374,199 900,"265, rue Wilson",Lachute,4,2,1092,7868
10375,410 000,"111-545, rue Jacques-Parizeau",Vieux-Québec,2,2,1048,613
10376,385 000,"2, terrasse des Grands-Maîtres",Drummondville (Drummondville),2,1,1404,8618
10377,247 000,"7180, rue des Renards",Charlesbourg,3,1,896,6497
10378,274 900,"533, rue des Nîmes",La Baie,4,1+1,1530,6000
10379,289 000,"2145, avenue du Muget",Alma,3,2,1200,11000
10380,154 900,"215, rue Lavoie",St-Raymond,2,1+1,800,26800
10381,107 500,"11, rue Leblanc",Port-Cartier,3,1+1,924,147
10382,330 000,"1717, chemin du Tour-du-Lac",St-Adolphe-D'Howard,3,2,1326,42600
10383,288 000,"516, rue Beauchamp",Repentigny (Le Gardeur),4,2,1008,6500
10384,985 000,"934, chemin Gendron",Sherbrooke (St-Élie-d'Orford),3,2,1008,2003760
10385,159 000,"835, 21e Rue",St-Georges,5,2,960,9756
10386,325 000,"793, chemin des Rapides",Val-Des-Monts,4,1+1,1535,63980
10387,324 900,"852, rue de la Falaise",Pincourt,3,1+1,1354,4122
10388,775 000,"4309, route des Tulipes",La Conception,5,2+1,3500,193635
10390,318 500,"35, chemin de Mousson",Lorraine,4,1+1,1036,7690
10391,415 000,"72, chemin Des Pinsons",Ste-Anne-Des-Lacs,3,3+1,70,50750
10392,409 000,"4-8260, rue de Louisbourg",Brossard,3,1+1,1339,2503
10393,203 000,"110, rue de Chantilly",Chicoutimi (Chicoutimi-Nord),4,2,888,9620
10394,380 000,"5415, rue de Liège",Trois-Rivières (Trois-Rivières-Ouest),5,3+1,2632,15150
10395,567 000,"10, rue des Hirondelles",Shannon,4,2+1,1788,29342
10396,265 000,"200, chemin Gagnon",St-Gabriel-De-Rimouski,4,2,1734,43145
10397,588 000,"621, rang des Trente",St-Marc-sur-Richelieu,5,2+1,2450,26000
10398,234 900,"2-25, rue d'Augusta",Gatineau (Aylmer),2,1+1,1185,1894
10400,127 000,"429, rue Principale",St-Sebastien-De-Frontenac,4,2,1185,8498
10401,275 900,"123, avenue de la Promenade",Pincourt,3,1+1,850,2820
10403,679 000,"7100, rue Oasis",Brossard,4,3+1,4324,5244
10404,279 000,"710, Gaston-Hardy",Trois-Rivières (St-Louis-De-France),5,2+1,3082,10850
10405,285 000,"30, rue Canal Sud",Grenville,4,2,2992,15916
10406,365 000,"648, 3e Rang Ouest",St-Joachim-De-Shefford,3,2,1335,112547
10407,369 900,"145, rue Georges",Gatineau (Masson-Angers),3,3+1,2480,19848
10408,242 000,"192, rue Radisson",Gaspé,3,1,1253,8245
10409,169 500,"152, chemin de la Rivière à Veillet",Ste-Genevieve-De-Batiscan,3,2,1056,21236
10410,296 000,"1025, rue d'Entremonts",Ste-Adèle,3,2,2300,17313
10411,305 000,"24, rue du Boisé",Marieville,3,2,840,7030
10413,439 000,"50, rue des Plateaux",St-Gabriel-De-Valcartier,4,1+1,2650,35000
10414,399 900,"181, rue Principale",St-André-Avellin,2,1,1070,11300
10415,176 300,"1245, rue Fabre",Sherbrooke (Mont-Bellevue),3,1,929,10000
10416,212 500,"2842, avenue de la Gare",Mascouche,3,1+1,1193,1926
10417,189 900,"B-1266, rue des Montérégiennes",Repentigny (Repentigny),2,1,892,6348
10418,212 500,"101, rue Marc-Aurèle-Fortin",Cowansville,3,1+1,1600,694726
10419,211 900,"619, rue Saint-Patrick",Sherbrooke (St-Élie-d'Orford),3,2,988,6414
10420,270 000,"836, impasse du Boisé",Granby,3,2,1258,16145
10421,429 000,"730, avenue Dalquier",Ste-Foy,4,2,1987,8654
10422,450 000,"60, rue des Casernes",Trois-Rivières (Trois-Rivières),4,2,1987,4462
10423,428 000,"125, boulevard Swail",Richelieu,3,1+1,1987,10200
10424,679 000,"136, rue Alexandre de Prouville",Carignan,4,2+1,2324,8507
10425,824 000,"3495, rue la Durantaye",Longueuil (St-Hubert),5,3+1,3292,7444
10426,195 000,"1193, rue du Clair de Lune",Val-Bélair,2,1+1,616,3149
10427,535 000,"2815, rue du Général-Tremblay",Ste-Foy,10,3,616,5500
10428,550 000,"1681, rue de Bruyères",Sillery,3,2+1,1930,5000
10429,274 900,"12520, 42e Avenue",Rivière des Prairies,3,1+1,723,3999
10430,599 000,"158, rue Côté",Neuville,4,2+1,2310,8269
10431,329 900,"6014, chemin Gagnon",Ascot Corner,3,1+1,1805,87120
10432,229 900,"327, rue du Bourgeois",Rimouski (Rimouski),4,2,1301,8533
10433,208 000,"493, rue Benoit",St-Maurice,2,1+1,1135,16000
10434,270 000,"75, chemin Val-Notre-Dame",Herouxville,2,1+1,2016,141375
10435,300 000,"3910, rue de Toulon",Sherbrooke (Rock Forest),2,2,1166,7042
10436,479 900,"175, rue Léo-Smith",Gatineau (Gatineau),2,1,1166,5500
10437,199 000,"155-159, rue de Sienne",Trois-Rivières (Trois-Rivières-Ouest),5,3,1166,5000
10438,195 000,"65, rue Sainte-Jeanne",Pont-Rouge,4,1+2,1111,5789
10439,195 999,"301-195, rue Robert-Jones",St-Jean-sur-Richelieu (St-Athanase),2,1,1008,14628
10440,178 000,"623, route des Fondateurs",Larouche,3,1+1,1008,44897
10441,345 000,"C-D-2517, chemin du Foulon",Sillery,2,1+1,1200,3455
10442,295 000,"909, rue de Bretigny",Fabreville,3,1+1,1280,2886
10443,385 000,"97, rue de Vail",St-David-de-Falardeau,5,2+1,2012,7074
10444,354 900,"1506, rue Liébert",Mercier / Hochelaga / Maisonneuve,3,1+1,899,1015
10445,399 900,"4191, rue Riopelle",Rawdon,3,2+1,1335,117000
10446,419 000,"313, 24e Avenue",L'Ile-Perrot,2,1,1335,5750
10447,379 000,"229, rue du Boisé",St-Gilles,5,2+1,2260,30000
10448,230 000,"1055, rue Prince Albert",Charlesbourg,2,1+1,861,2256
10449,185 000,"8467, boulevard Guillaume-Couture",Lévis,3,1+1,655,4362
10451,249 000,"30, rue Industrielle",St-Apollinaire,4,2+1,1172,6217
10452,269 000,"1718, rue de la Guinée",Val-Bélair,3,1+1,1200,3630
10453,209 900,"26, rue du Fleuve",Gaspé,2,2,1040,24822
10454,324 900,"8899, rue des Marsouins",Charlesbourg,4,2+1,1390,6324
10455,235 500,"595, rue Johnson",Drummondville (Drummondville),3,1+1,1390,6200
10456,174 800,"5925, rue de Versailles",Trois-Rivières (Trois-Rivières-Ouest),5,2,1382,9310
10457,379 500,"2747, rue Maurice",Terrebonne (Lachenaie),6,2+1,2352,10789
10458,199 000,"28, rue Bélanger",Valleyfield,5,2,2352,3375
10459,279 000,"3684, rue Beaumier",Sherbrooke (Rock Forest),4,2,1522,38559
10460,224 900,"891, rue Hervé",Sherbrooke (Rock Forest),4,2+1,1438,3601
10461,274 900,"208, rue de la Fonderie",Trois-Rivières (Cap-De-La-Madeleine),5,3,1523,10000
10462,544 995,"2155, rue Lambert-Sarazin",St-Hyacinthe,4,2+1,2350,5400
10463,429 000,"111, boulevard du Lac",Ste-Brigitte-De-Laval,3,2,1768,174742
10464,118 000,"160, rue Harvey Ouest",Alma,4,1+1,1768,510
10465,214 000,"308-171, rue de Saint-Romuald",St-Romuald,2,1+1,1043,42000
10466,449 000,"6, rue des Doublons",Blainville,4,2,1980,9607
10467,395 000,"604-600, rue Bourdages",Vanier,2,1,1098,56550
10468,122 500,"276, chemin Kennedy",La Pêche,2,1,1098,163350
10469,479 000,"2865, avenue de Peribonka",Duvernay,2,2+2,2000,6268
10470,217 000,"410, route 138",Cap-Santé,4,2,912,11288
10471,379 000,"10, chemin Adagio",Val-Des-Monts (Perkins),3,1+1,2400,52538
10472,358 000,"1365, rue du Sentier",Beloeil,4,1+1,1456,7600
10473,389 700,"156, rue Sainte-Christine",Beauport,3,1+1,2000,7000
10474,269 900,"3245, rue Saint-Charles",St-Hyacinthe,3,1+1,2264,2264
10475,191 500,"102-84, rue Chénier",St-Philippe,2,1,1034,1728
10476,217 000,"266-268, avenue Ruel",Beauport,4,2,1034,9983
10477,489 000,"1527, chemin des Chalets",St-Pierre-Baptiste,3,2,2084,60000
10478,229 000,"8680, 8e Avenue",St-Georges,4,2,1200,10000
10479,249 000,"1185, 20e Rue",St-Georges,3,2+1,1300,17500
10480,215 000,"22, avenue de la Durantaye",St-Michel-de-Bellechasse,3,1+1,1581,8408
10482,249 000,"431, rue Boisseau",Saint-Sauveur,5,3,1581,1144
10483,89 000,"847, 8e rue Est",Degelis,3,2,1041,6960
10484,149 000,"1-143, rue Académie",Salaberry-De-Valleyfield,2,1,1180,4996
10485,129 900,"401, rue Notre-Dame",Ste-Thecle,3,1,1488,7840
10486,199 900,"44, rue des Pruches",Rivière-Du-Loup,4,2+1,1818,5110
10487,307 000,"281, 94e Rue Ouest",Charlesbourg,2,2+1,1248,4689
10488,225 000,"8250, rue L. Gaston-Gaudet",Bécancour (Bécancour),5,2,1227,10279
10489,415 000,"143, chemin des Granites",Lac-Beauport,3,2,1613,20000
10490,639 000,"2202, boulevard Gouin Est",Ahuntsic / Cartierville,4,1,1350,4000
10491,269 000,"591, rue Jean-Guy",Repentigny (Le Gardeur),4,2,958,6296
10492,60 000,"56-71, Chemin Périard",Ripon,4,2,958,108900
10493,416 000,"14105, rue Jacques-Ferron",Mirabel (St-Janvier),3,1+1,1743,8394
10494,340 600,"675, rue de Sherwood",Charlesbourg (ND-Des-Laurentides),3,1+1,1410,21100
10495,189 000,"190, rue Jean-Talon",Sherbrooke (Fleurimont),2,2,1210,5999
10496,310 900,"618, avenue Albert-Rousseau",St-Étienne-De-Lauzon,4,2+1,2201,5816
10497,205 500,"3, chemin du Compas",St-Michel-de-Bellechasse,3,2,851,7500
10500,259 900,"312, rue Phydime-Deschenes - Par Construction C.R.D",Charlesbourg,3,1+1,1320,4300
10501,154 022,"542, avenue des Dalles - Par B2G2 Construction",Shawinigan (Shawinigan-Sud),1,1+1,1032,4000
10502,232 700,"154, rue François de Laval - Le Mélia",St-Étienne-De-Lauzon,3,1+1,1300,4177
10503,221 500,"104-1373, rue de Jupiter",St-Romuald,3,2,1455,500
10504,272 000,"2-9, rue Gratton",Gatineau (Hull),5,2,1455,3999
10505,200 000,"7, 6e Rang Ouest",St-Paul-De-Montminy,5,2,1455,4909419
10506,399 000,"2000, 44e Rue Nord",St-Georges,3,1+1,1455,45000
10508,375 000,"5, chemin des Tilleuls",St-Sauveur,4,2+1,1556,19000
10509,239 000,"270, sentier Minier",St-Félix-D'Otis,2,1+1,700,18000
10510,182 000,"6-108, rue Saint-Hubert",Chateauguay,2,1,1071,16060
10511,219 000,"407, des Mésanges - Par Rochette Construction",St-Isidore,2,1,1176,8490
10512,274 000,"107, rue des Hirondelles",St-Lin-Laurentides,3,1+1,1830,16256
10513,164 500,"10-1858, rue des Roitelets",Chicoutimi (Chicoutimi),2,1,760,29060
10514,399 000,"3832, chemin de l'Église",Chicoutimi (Laterrière),3,1+1,2880,18832
10516,239 000,"1032, rue Réjean-Durocher",Shawinigan (Shawinigan-Sud),4,2,2880,7000
10517,445 000,"80, rue Phaneuf",St-Jean-sur-Richelieu (St-Athanase),4,3,2130,7720
10518,166 700,"1204C-677, 12e Avenue Nord",Sherbrooke (Fleurimont),3,1,990,3758
10519,328 500,"1615, rue de Saint-Émilion",St-Jérôme (Bellefeuille),3,1+1,990,6074
10520,339 000,"41, rue du Val-Simon",Morin-Heights,4,2,1650,28965
10521,339 900,"1505, rue Stratton - Par Habitat RS3 inc.",Longueuil (St-Hubert),2,1+1,1472,3060
10522,388 000,"3046, Rang St-Jacques",St-Jacques,3,2+1,3500,28198
10523,449 000,"1240, chemin Bolduc",Magog,3,2+1,1924,18750
10524,359 000,"16, rue du Bouclier",Cantley,5,3+1,2571,43560
10525,324 900,"6, chemin des Près",St-Hippolyte,3,2+1,2571,38800
10526,218 000,"1990, avenue des Bâtisseurs",Alma,3,1+1,2571,4510
10527,397 000,"1390, rue Saint-Alexis",Trois-Rivières (St-Louis-De-France),3,1+1,1400,511070
10528,314 900,"16, chemin du Havre",Val-Des-Monts (Perkins),3,1,1497,57483
10530,188 000,"1376, rue Mansourati",Sherbrooke (Rock Forest),3,2+1,1020,2271
10531,359 900,"601, place Aimé-Marleau",Blainville,3,1+2,1850,12574
10532,145 000,"9, chemin du Lac",Rimouski (Ste-Blandine/Mont-Lebel),3,1,1383,17306
10533,299 000,"92, chemin des Mélèzes",Weedon Centre,3,2,1900,161500
10534,790 000,"515, place de la Bonne-Entente",Trois-Rivières (Pointe-Du-Lac),4,3+1,5400,14545
10535,399 900,"1090, rue River",Mascouche,3,1+1,2300,17000
10536,285 000,"4010, rue Riverside",Rawdon,4,3,1566,23100
10537,182 700,"1266, rue des Écoliers",Lac-St-Charles,2,1,1087,6923
10538,388 000,"300, rue de l'Érablière",Beaupré,4,1+1,1982,12576
10539,449 000,"9018, rue des Lièvres",Charlesbourg,3,1+1,1571,8197
10540,249 500,"448, chemin Champigny",Larouche,3,2+1,816,46054
10541,389 000,"300, avenue du Parc",St-Jérôme (St-Antoine),5,2+2,2373,6537
10542,292 500,"360, rue Delage",Lac-St-Charles,3,2,1008,9363
10543,398 500,"130, chemin des Granites",Lac-Beauport,3,2+1,1568,21080
10545,385 000,"125, rue Hélène",Repentigny (Repentigny),4,2+1,1190,6351
10546,233 000,"F-106-2305, rue de Bogota",Lebourgneuf,2,2+1,1559,16565
10549,289 999,"210, 106e Avenue Est",St-Jérôme (Lafontaine),4,2,1248,5511
10550,455 000,"3521, rue Ovila-Hamel",Longueuil (St-Hubert),3,1+1,1248,5000
10551,379 000,"397, croissant du Colibri",Rosemère,4,1+1,1352,7578
10552,177 000,"300, avenue de Normandie",Alma,4,2,1010,7660
10553,261 900,"7-3356, rue Saint-Dominique",Jonquière (Jonquière),4,2,1191,550000
10554,267 500,"1848, rue Pruneau",St-Maurice,4,2+1,1682,7120
10555,157 000,"209-6200, rue de la Griotte",Lebourgneuf,1,1,652,36171
10556,324 000,"115, rue Galipeau",Thurso,9,1,652,12902
10557,149 000,"490, 30e Rue",St-Georges,5,1,1176,6278
10558,455 000,"1085, 171e Rue",St-Georges,3,2+2,3499,17461
10559,165 000,"137-6045, rue de la Griotte",Lebourgneuf,2,1,772,1565
10560,194 900,"428, rue des Cardinaux",St-Pie,2,1+1,1000,7400
10561,272 900,"528, rue Damasse-Bastien",Magog,3,1+1,1295,7276
10562,349 000,"1664, rue des Horizons",Magog,3,2+1,1920,7837
10563,129 500,"3470, rue Chisholm",Wentworth-Nord,2,1+1,832,21124
10564,219 500,"A-C-391, avenue Sainte-Brigitte",Ste-Brigitte-De-Laval,5,3,832,15679
10565,149 995,"841, chemin de Val-des-Lacs",Ste-Sophie,2,1,1200,7000
10566,299 500,"601, rue Pierre-Georges-Roy",Lévis,3,1+1,814,7312
10567,379 900,"1214, rue des Vignobles",Prévost,3,2+1,3450,40650
10568,169 000,"1100, chemin de la Baie-des-Jean",Alma,3,2+1,3450,43314
10569,485 000,"248, rue Griffin",Shannon,3,2+1,1986,21637
10570,448 000,"139, rue des Bosquets",Beaumont,2,1+1,1105,11650
10571,529 000,"10488, rue Thomas Paine",Rivière des Prairies,3,1+1,1375,4900
10572,298 000,"287, boulevard Nilus-Leclerc",L'Islet,6,4,1375,6386
10574,259 900,"249, rue Saint-Paul Est",Coaticook,4,2,2152,13729
10575,529 000,"281, rue de Bernières",Repentigny (Repentigny),4,2+1,2235,5500
10576,650 000,"9, rue des Hêtres",Ste-Julie,5,3,3118,11704
10577,280 000,"2, route Madoc",Chicoutimi (Chicoutimi-Nord),4,2,1068,17617
10578,244 800,"100, rue Laliberté",St-Henri-de-Lévis,3,2,1124,12407
10579,349 000,"98, rue Norton",Coaticook,4,13,4209,17943
10580,318 000,"9510, route Marie-Victorin",Contrecoeur,3,1+1,938,12028
10581,299 999,"45, rue Benjamin",Lachute,4,2,1352,8800
10582,215 000,"17, rue Claire",St-Sauveur,4,2,1000,7470
10584,245 000,"1502, route 161",Frontenac,2,2,832,58305
10585,241 900,"34-36, rue Saint-Joseph",Lévis,5,2+1,832,3000
10586,215 000,"651, rue Verlaine",Chicoutimi (Chicoutimi),4,2,1000,7363
10587,338 000,"2265, rue de la Pétanque",Val-David,2,1,1016,19057
10588,449 900,"7420, rue Émile-Fleury",Lebourgneuf,4,2+1,1582,3804
10589,199 000,"9960, rue Notre-Dame Ouest",Trois-Rivières (Pointe-Du-Lac),3,1,1120,93163
10590,238 000,"4356, rue Laval",Lac-Mégantic,4,1,1120,9700
10591,324 900,"95, rue des Turquoises",St-Apollinaire,3,1+1,1808,6458
10592,299 000,"14, montée des Chênes",Château-Richer,3,2,1256,17375
10593,257 000,"460, rue des Mélézes",Charette,5,1+1,2185,46750
10594,319 000,"626, 10e rang",Wickham,4,1+1,1246,69000
10595,129 900,"936, avenue du Palais",St-Joseph-De-Beauce,3,1+1,1100,6890
